epoch,train_loss,val_loss,val_action_mse
1,0.7894216505810618,0.44348227183024086,0.16890464921792347
2,0.315478264936246,nan,nan
3,0.22499500622507185,nan,nan
4,0.1880967285251245,nan,nan
5,0.16227326111402363,nan,nan
6,0.14414224022766575,nan,nan
7,0.13104243110865355,nan,nan
8,0.12354870600393042,nan,nan
9,0.11587542912457138,nan,nan
10,0.11370771273504943,nan,nan
11,0.11000622733263299,nan,nan
12,0.10701294284081087,nan,nan
13,0.10362375335535035,nan,nan
14,0.0997714520781301,nan,nan
15,0.09777112060692161,nan,nan
16,0.09748237661551684,nan,nan
17,0.09562737098895013,nan,nan
18,0.09509532153606415,nan,nan
19,0.09215999074513093,nan,nan
20,0.09053360635880381,0.09541380206743875,0.1134602665901184
21,0.09123856096994132,nan,nan
22,0.09123452403582633,nan,nan
23,0.08853124076267704,nan,nan
24,0.08811301924288273,nan,nan
25,0.08800410956609994,nan,nan
26,0.08616560994414613,nan,nan
27,0.08577184390742332,nan,nan
28,0.08559610944939777,nan,nan
29,0.08493391273077577,nan,nan
30,0.08323559374548495,nan,nan
31,0.08416922279866412,nan,nan
32,0.08411957242060453,nan,nan
33,0.08217436936683953,nan,nan
34,0.08165949996327981,nan,nan
35,0.08096250053495169,nan,nan
36,0.08074329007649794,nan,nan
37,0.08200286456849426,nan,nan
38,0.08037248079199344,nan,nan
39,0.08017638290766627,nan,nan
40,0.07946756557794288,0.08259772608677546,0.09148550828297933
41,0.07952986157033592,nan,nan
42,0.07889262598473579,nan,nan
43,0.07859360094880685,nan,nan
44,0.07869237882550806,nan,nan
45,0.0780378173221834,nan,nan
46,0.07797177374595776,nan,nan
47,0.07738698390312493,nan,nan
48,0.07629332115175202,nan,nan
49,0.07632044760975987,nan,nan
50,0.07721768645569682,nan,nan
51,0.0762111839139834,nan,nan
52,0.07683865039143711,nan,nan
53,0.07572001020889729,nan,nan
54,0.07593931118026376,nan,nan
55,0.0746436478511896,nan,nan
56,0.07498652039794251,nan,nan
57,0.07426218371256255,nan,nan
58,0.07559694314841181,nan,nan
59,0.07427136108162813,nan,nan
60,0.0748564307577908,0.07875791092713674,0.08693440854549409
61,0.07448610660503618,nan,nan
62,0.07314097852213308,nan,nan
63,0.0737779158516787,nan,nan
64,0.07357443572254851,nan,nan
65,0.07288704879465513,nan,nan
66,0.07368035460240208,nan,nan
67,0.07278697288711555,nan,nan
68,0.07348111813189462,nan,nan
69,0.07230184925720096,nan,nan
70,0.07234406494535506,nan,nan
71,0.07084356268751435,nan,nan
72,0.07190932900994085,nan,nan
73,0.0722641846514307,nan,nan
74,0.07160294702043757,nan,nan
75,0.07066399691393599,nan,nan
76,0.07091825269162655,nan,nan
77,0.07023090971051715,nan,nan
78,0.07042301932233386,nan,nan
79,0.07085796969477087,nan,nan
80,0.06957965018227696,0.07640826205412547,0.08022536983092626
81,0.07049803578411229,nan,nan
82,0.06996024295222014,nan,nan
83,0.07016337959794328,nan,nan
84,0.0699745838646777,nan,nan
