epoch,train_loss,val_loss,val_action_mse,early_stop
1,0.7098687413569803,0.3609000595384522,0.06379674576026828,False
2,0.61123204775371,0.3213694260308617,0.056361058947483174,False
3,0.5675327555272589,0.3031326763724026,0.05120169258627452,False
4,0.5327928269057848,0.2953424240021329,0.0510420628676289,False
5,0.497140499009631,0.3000592061955678,0.05215871062031702,False
6,0.4845855522947193,0.28550092052472265,0.04838207555248549,False
7,0.45903154051402795,0.29225909592289673,0.05045567734755183,False
8,0.4546331481320235,0.2915756239702827,0.05250498262773219,False
9,0.4635432248788256,0.2905975656681939,0.049947289161776244,False
10,0.41929743578077844,0.2958616182992333,0.051848882907315305,False
11,0.3947527294831652,0.2946583654143308,0.05046956054866314,False
12,0.38511288976026276,0.30846197197311803,0.052900099097505995,False
13,0.36505025699425536,0.3028407787021838,0.052858517162109674,False
14,0.3529994147694457,0.30453188325229447,0.051732354797422886,False
15,0.3544765723196797,0.3027377593282022,0.052951332218454855,False
16,0.3420602517874904,0.3098023714203584,0.05287614249085125,False
17,0.3277925175007943,0.29867447795052277,0.05187571715367468,False
18,0.34112649692292035,0.3157993590361194,0.05500135363667811,False
19,0.3190469131553816,0.31182555442577914,0.05420882303855921,False
20,0.3084433441092859,0.3235306335907233,0.05464369587992367,False
21,0.3242767368485819,0.3118668518176204,0.05252028192932669,False
22,0.29428319759759664,0.3193416160188223,0.05570897276170159,False
23,0.2996092933033017,0.32024415817699936,0.05502464190909737,False
24,0.2898104674650426,0.31034961185957255,0.05361946623184179,False
25,0.2785417695386776,0.3332315402987756,0.057016965467482805,False
26,0.284423172535738,0.32447581581379237,0.05474374525396055,False
27,0.27587576640221095,0.32257866545727376,0.055334680652441945,False
28,0.26642268750801124,0.32088151005537885,0.054824826442391464,False
29,0.2592212665377811,0.33136956472145884,0.05703840412101463,False
30,0.26804686241872083,0.3387053361848781,0.0600918990461842,False
31,0.24701335123465765,0.33212455479722275,0.05695271572882408,True
